,artists,album_name,track_name,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
0,Adele,19,Make You Feel My Love,212040,False,0.317,0.172,10,-10.636,1,0.0326,0.907,0.000383,0.105,0.0963,65.18,3,soul
1,Fountains Of Wayne,Welcome Interstate Managers,Stacy's Mom,197986,False,0.774,0.75,11,-4.927,0,0.0412,0.00207,1.78e-05,0.0808,0.927,118.015,4,power-pop
2,Daddy Yankee;Bad Bunny,Vuelve,Vuelve,279613,False,0.734,0.531,1,-5.662,1,0.0321,0.196,0.0,0.119,0.199,130.024,4,latino
3,Billy Joel,The Stranger (Legacy Edition),Vienna,214240,False,0.532,0.495,10,-6.662,1,0.0343,0.659,0.0,0.0754,0.308,124.936,4,singer-songwriter
4,Dr. Dre;Eminem,2001,Forgot About Dre,222293,True,0.924,0.74,8,-1.299,1,0.0774,0.0827,0.0,0.163,0.621,133.974,4,funk
5,Bad Bunny;Daddy Yankee,YHLQMDLG,La Santa,206420,True,0.744,0.868,1,-4.524,1,0.047,0.0326,0.0,0.0822,0.586,93.037,4,reggae
6,Bad Bunny,Un Verano Sin Ti,Efecto,213061,False,0.801,0.475,7,-8.797,0,0.0516,0.141,1.73e-05,0.0639,0.234,98.047,4,reggae
7,Coolio;L.V.,Gangsta's Paradise,Gangsta's Paradise,240693,False,0.647,0.514,8,-10.05,1,0.0593,0.0655,0.0,0.398,0.386,79.975,4,funk
8,AC/DC,Highway to Hell,Highway to Hell,208400,False,0.574,0.913,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728,4,hard-rock
9,The Offspring,Smash,Self Esteem,257826,False,0.488,0.862,0,-7.595,1,0.0476,0.0204,0.0,0.359,0.706,104.56,4,ska
10,Galantis;David Guetta;Little Mix,Heartbreak Anthem (with David Guetta & Little Mix),Heartbreak Anthem (with David Guetta & Little Mix),183725,False,0.595,0.784,1,-4.878,1,0.102,0.216,0.0,0.0608,0.479,124.111,4,house
11,Bad Bunny;Jhay Cortez,EL ÚLTIMO TOUR DEL MUNDO,DÁKITI,205090,True,0.731,0.573,4,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,4,reggae
12,Scorpions,Comeblack,Still Loving You,403453,False,0.282,0.605,6,-4.916,0,0.0294,0.0047,0.00144,0.103,0.0783,103.929,4,german
13,Ellie Goulding,Delirium (Deluxe),"Love Me Like You Do - From ""Fifty Shades Of Grey""",252534,False,0.262,0.606,8,-6.646,1,0.0484,0.247,0.0,0.125,0.275,189.857,4,electro
14,Fujii Kaze,HELP EVER HURT NEVER,Shinunoga E-Wa,185573,False,0.6,0.76,6,-6.124,0,0.0452,0.166,4.09e-05,0.189,0.519,158.078,4,j-pop
15,bôa,Twilight,Duvet,203600,False,0.583,0.888,11,-9.414,0,0.0349,0.191,4.58e-05,0.0936,0.706,93.206,4,indie-pop
16,Chris Jedi;Anuel AA;Chencho Corleone;Ñengo Flow,La Llevo Al Cielo (Ft. Ñengo Flow),La Llevo Al Cielo (Ft. Ñengo Flow),254920,True,0.795,0.845,9,-3.809,0,0.135,0.105,1.14e-05,0.172,0.769,170.023,4,reggaeton
17,Rick James,Street Songs (Deluxe Edition),Super Freak,205466,False,0.838,0.794,9,-8.245,0,0.0531,0.22,0.0,0.0575,0.962,132.446,4,soul
18,Nio Garcia;Casper Magico;Bad Bunny;Darell;Ozuna;Nicky Jam,Te Boté (Remix),Te Boté - Remix,417920,True,0.903,0.675,11,-3.445,0,0.214,0.542,1.28e-05,0.0595,0.442,96.507,4,reggaeton
19,Jonas Blue;Why Don't We,Don’t Wake Me Up,Don’t Wake Me Up,188894,False,0.621,0.747,11,-5.084,1,0.0337,0.222,0.000194,0.147,0.426,124.015,4,dance
20,Sidhu Moose Wala;Sunny Malton,No Name,Never Fold (feat. Sunny Malton),183225,False,0.814,0.786,8,-5.178,0,0.232,0.069,0.0,0.0976,0.797,93.025,4,hip-hop
21,Anne-Marie,Speak Your Mind (Deluxe),2002,186986,False,0.697,0.683,1,-2.881,0,0.117,0.0372,0.0,0.137,0.603,96.133,4,dance
22,Bad Bunny,Un Verano Sin Ti,Neverita,173119,False,0.876,0.498,10,-7.511,1,0.0478,0.0706,0.0,0.143,0.428,122.016,4,latin
23,mazie,the rainbow cassette,dumb dumb,125256,False,0.783,0.472,2,-8.392,1,0.0427,0.22,0.000458,0.0798,0.589,122.052,4,indie
24,Drowning Pool,Sinner,Bodies,201960,False,0.656,0.932,4,-3.405,0,0.0708,0.00347,0.00147,0.144,0.544,130.936,4,metal
25,Måneskin,THE LONELIEST,THE LONELIEST,247067,False,0.519,0.595,2,-5.001,1,0.0283,0.00151,0.0,0.0762,0.237,129.786,4,rock
26,Aerosmith,Get A Grip,Crazy,316693,False,0.37,0.866,6,-3.879,0,0.0384,0.0868,0.0,0.137,0.427,162.086,3,hard-rock
27,Myke Towers;Jhay Cortez,Ande Con Quien Ande,Ande Con Quien Ande,208734,True,0.825,0.736,7,-5.55,1,0.0913,0.0822,0.0,0.158,0.508,92.028,4,reggaeton
28,NMIXX,ENTWURF,DICE,165746,False,0.556,0.798,7,-3.331,1,0.254,0.0848,0.0,0.33,0.628,131.096,4,k-pop
29,Capital Cities,In A Tidal Wave Of Mystery (Deluxe Edition),Safe And Sound,192789,False,0.655,0.819,0,-4.852,1,0.0316,0.000176,0.00374,0.104,0.766,117.956,5,rock
30,80purppp,Hex,Hex,122221,False,0.845,0.398,5,-15.781,1,0.268,0.872,0.00713,0.159,0.482,109.996,4,chill
31,Denise Julia,NVMD,NVMD,181224,True,0.758,0.674,6,-4.533,1,0.108,0.0903,0.0,0.0902,0.424,97.977,4,chill
32,A$AP Rocky;Skepta,TESTING,Praise The Lord (Da Shine) (feat. Skepta),205040,True,0.854,0.569,5,-8.151,0,0.106,0.0609,0.0816,0.1,0.294,80.015,4,hip-hop
33,SEVENTEEN,SEVENTEEN 9th Mini Album 'Attacca',Rock with you,180360,False,0.621,0.816,11,-5.242,1,0.104,0.0966,0.0,0.134,0.694,163.966,4,k-pop
34,salem ilese;TOMORROW X TOGETHER;Alan Walker,PS5 (with TOMORROW X TOGETHER & Alan Walker),PS5 (with TOMORROW X TOGETHER & Alan Walker),152214,False,0.602,0.642,2,-5.404,0,0.211,0.0131,5.33e-06,0.0668,0.54,175.978,4,indie-pop
35,El Alfa;Noriel;Trueno,LOS APARATOS,LOS APARATOS,232843,False,0.868,0.878,1,-3.294,1,0.038,0.0509,0.00052,0.0857,0.899,112.987,4,latino
36,Cigarettes After Sex,Cigarettes After Sex,K.,320030,False,0.454,0.4,3,-10.261,1,0.0265,0.139,0.846,0.137,0.327,93.719,4,indie-pop
37,Calvin Harris;Dua Lipa,One Kiss (with Dua Lipa),One Kiss (with Dua Lipa),214846,False,0.791,0.862,9,-3.24,0,0.11,0.037,2.19e-05,0.0814,0.592,123.994,4,pop
38,AP Dhillon;Gminxr;Gurinder Gill;Shinda Kahlon,Brown Munde,Brown Munde,254400,False,0.854,0.611,8,-6.26,0,0.0864,0.223,0.0,0.119,0.417,100.024,4,hip-hop
39,Kygo;Whitney Houston,Higher Love,Higher Love,228267,False,0.693,0.678,8,-7.159,1,0.0324,0.0151,5.71e-06,0.101,0.404,103.952,4,edm
40,Two Feet,Love Is a Bitch,Love Is a Bitch,181466,True,0.532,0.178,9,-9.754,0,0.0541,0.614,0.14,0.0985,0.103,149.879,3,indie-pop
41,XXXTENTACION,17,Everybody Dies In Their Nightmares,95466,True,0.734,0.57,7,-7.066,0,0.133,0.847,2.14e-05,0.112,0.689,129.953,4,hip-hop
42,Neon Trees,Picture Show,Everybody Talks,177280,False,0.471,0.924,8,-3.906,1,0.0586,0.00301,0.0,0.313,0.725,154.961,4,alternative
43,The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,You Get Me So High,153000,False,0.551,0.881,7,-6.099,0,0.0542,0.186,0.0791,0.152,0.387,88.036,4,rock
44,Lauv,I met you when I was 18. (the playlist),I Like Me Better,197436,False,0.752,0.505,9,-7.621,1,0.253,0.535,2.55e-06,0.104,0.419,91.97,4,pop
45,Drake;Travis Scott,Certified Lover Boy,Fair Trade (with Travis Scott),291175,True,0.666,0.465,1,-8.545,1,0.26,0.0503,0.0,0.215,0.292,167.937,4,hip-hop
46,Phoebe Bridgers,Stranger in the Alps,Motion Sickness,229760,False,0.651,0.546,1,-9.021,1,0.0357,0.774,0.0437,0.0842,0.623,107.021,4,indie
47,Dhanush;Anirudh Ravichander,"Mayakkama Kalakkama (From ""Thiruchitrambalam"")","Mayakkama Kalakkama (From ""Thiruchitrambalam"")",142258,False,0.789,0.536,9,-5.422,0,0.0424,0.604,2.09e-06,0.088,0.877,124.029,4,pop-film
48,Becky Hill;David Guetta,Remember,Remember,160766,False,0.612,0.862,8,-2.903,1,0.037,0.041,0.0,0.0907,0.354,123.849,4,house
49,Radiohead,Pablo Honey,Creep,238640,True,0.515,0.43,7,-9.935,1,0.0372,0.0097,0.000133,0.129,0.104,91.844,4,rock
50,Yasser Desai;Neha Kakkar;Rajat Nagpal,"Dil Ko Karaar Aaya (From ""Sukoon"")","Dil Ko Karaar Aaya (From ""Sukoon"")",231486,False,0.55,0.448,11,-9.117,1,0.0366,0.777,0.000459,0.111,0.388,147.986,4,pop
51,Suki Waterhouse,Good Looking,Good Looking,214800,False,0.377,0.558,4,-9.076,1,0.0299,0.0789,0.000342,0.125,0.267,149.971,3,indie-pop
52,MEDUZA;Hozier,Tell It To My Heart,Tell It To My Heart,165524,False,0.539,0.715,11,-6.639,0,0.0595,0.0265,0.0,0.609,0.489,123.854,4,electro
53,Bad Bunny;Jhayco,DÁKITI,DÁKITI,205090,True,0.731,0.573,4,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,4,reggae
54,Justin Quiles;Robin Schulz,AEIOU,AEIOU,161880,False,0.689,0.856,5,-3.394,0,0.0813,0.0493,0.0,0.232,0.706,126.108,4,reggaeton
55,Marshmello;Demi Lovato,OK Not To Be OK,OK Not To Be OK,159862,False,0.743,0.837,1,-5.025,0,0.0649,0.0172,0.0,0.0743,0.263,103.072,4,dance
56,Chuck Berry,Berry Is On Top,Johnny B. Goode,161560,False,0.534,0.803,10,-9.129,1,0.0743,0.741,6.07e-05,0.307,0.969,167.983,4,rock-n-roll
57,Taylor Swift,Lover,Lover,221306,False,0.359,0.543,7,-7.582,1,0.0919,0.492,1.58e-05,0.118,0.453,68.534,4,pop
58,Tiësto;Charli XCX,Hot In It,Hot In It,129817,False,0.748,0.841,7,-5.08,1,0.177,0.00445,1.33e-06,0.0413,0.717,123.045,4,house
59,Paloma Faith,A Perfect Contradiction (Outsiders' Expanded Edition),Only Love Can Hurt Like This,232893,False,0.566,0.885,8,-4.528,1,0.0818,0.0958,9.97e-05,0.334,0.304,90.99,4,soul
60,Armani White,BILLIE EILISH.,BILLIE EILISH.,99282,True,0.9,0.509,1,-6.647,1,0.257,0.115,1.67e-06,0.0937,0.765,100.007,4,hip-hop
61,My Chemical Romance,The Black Parade,Welcome to the Black Parade,311106,False,0.217,0.905,2,-4.103,1,0.0752,0.000289,0.00011,0.222,0.236,96.95,4,punk
62,Alice In Chains,Facelift,Man in the Box,285200,True,0.355,0.791,8,-7.565,1,0.0453,0.00045,0.0,0.0969,0.758,106.392,4,grunge
63,Felix Jaehn;Zoe Wees,Do It Better (feat. Zoe Wees),Do It Better (feat. Zoe Wees),170045,False,0.677,0.804,1,-5.337,0,0.0677,0.0818,1.92e-05,0.158,0.41,122.111,4,german
64,Dynoro;Gigi D'Agostino,In My Mind,In My Mind,184560,False,0.694,0.77,6,-5.335,1,0.149,0.176,1.1e-05,0.118,0.163,125.905,4,house
65,dhruv,rapunzel,double take,171743,False,0.656,0.436,8,-11.141,1,0.0744,0.845,0.0,0.221,0.196,109.239,4,chill
66,ASTN,Happier Than Ever,Happier Than Ever,109325,True,0.667,0.457,6,-6.885,0,0.439,0.341,0.0,0.114,0.266,97.604,4,chill
67,KAROL G,PROVENZA,PROVENZA,210200,False,0.87,0.516,1,-8.006,1,0.0541,0.656,0.00823,0.11,0.53,111.005,4,reggae
68,Ben E. King,Don't Play That Song (Mono),Stand by Me,180055,False,0.65,0.306,9,-9.443,1,0.0393,0.57,7.07e-06,0.0707,0.605,118.068,4,rock-n-roll
69,Tove Lo,Queen Of The Clouds,Habits (Stay High),209160,False,0.733,0.65,5,-3.539,1,0.0315,0.0703,6.59e-05,0.0829,0.348,110.003,4,swedish
70,Linkin Park,Hybrid Theory (Bonus Edition),Papercut,184866,False,0.524,0.939,9,-3.994,1,0.113,0.00022,0.0,0.623,0.661,150.184,4,alternative
71,The Chainsmokers;Daya,Don't Let Me Down,Don't Let Me Down,208373,False,0.532,0.869,11,-5.094,1,0.172,0.157,0.00508,0.136,0.422,159.803,4,electro
72,Becky G,Shower,Shower,206166,False,0.699,0.529,2,-7.548,1,0.0487,0.0317,3.59e-05,0.285,0.121,119.987,4,latin
73,Paloma Faith,A Perfect Contradiction (Outsiders' Expanded Edition),Only Love Can Hurt Like This,232893,False,0.566,0.885,8,-4.528,1,0.0818,0.0958,9.97e-05,0.334,0.304,90.99,4,british
74,Stray Kids,NOEASY,Thunderous,183266,False,0.601,0.786,1,-3.706,1,0.234,0.213,0.0,0.209,0.79,172.156,4,k-pop
75,Manuel Turizo,La Bachata,La Bachata,162637,False,0.835,0.679,7,-5.329,0,0.0364,0.583,1.98e-06,0.218,0.85,124.98,4,reggaeton
